,obsid,obsdate,ra,dec,subclass,mag5,z,z_err,rv,rv_err,logg,logg_err,teff,teff_err,feh,feh_err
51176,27913084,11/01/2012,72.08632,40.773361,A1,13.5795002,-3.03E-05,1.52E-06,,,,,,,,
14631,28010012,11/01/2012,67.271431,40.582069,A5,-999,-0.000155107,1.55E-05,-46.5,4.64,3.836,0.048,7542.82,36.08,-0.127,0.034
19557,184307108,28/11/2013,67.25496,32.548306,dM0,15.53299999,-4.97E-05,7.91E-06,,,5.147,0.17,3890.87,83.33,,
74423,214602075,30/01/2014,61.973547,24.677778,G5,17.76099968,-8.01E-05,1.82E-05,-24.02,5.47,3.152,0.116,4737.67,70.75,-0.104,0.076
82307,268005203,18/11/2014,96.361186,14.85137,F0,-999,0.0001441,1.60E-05,43.2,4.79,4.238,0.051,6603.38,35.88,-0.332,0.031
19280,92002212,09/12/2012,130.194048,18.680399,G5,14.02400017,0.000233495,2.43E-05,70,7.29,3.513,0.169,5128.42,101.95,-0.502,0.11
68364,546203123,01/03/2017,99.313295,53.707673,F9,16.01749992,-0.000123819,2.63E-05,-37.12,7.89,4.013,0.152,5762.24,94.57,-0.801,0.1
56734,371407181,15/10/2015,67.156109,17.096826,F5,-999,0.00030232,0.00011004,,,,,,,,
93397,649513108,21/02/2018,163.878018,46.165734,K7,-999,-0.000132025,2.10E-05,-39.58,6.3,4.722,0.133,4077.45,81.42,-0.573,0.087
96254,614516179,09/12/2017,87.201346,66.873647,F0,17.38500023,-0.0003283,0.00028622,,,,,,,,
9406,823804238,27/05/2020,277.8968,18.007282,dM1,16.05520058,-0.0002459,2.48E-05,,,4.813,0.22,3813.1,105.95,,
4442,605501080,17/11/2017,54.451993,13.077838,F7,13.22500038,2.25E-05,1.56E-05,6.74,4.67,4.093,0.115,6302.37,68.89,-0.153,0.075
40028,91608241,09/12/2012,85.401906,26.260979,G9,16.55400085,0.0001312,3.21E-05,,,,,,,,
71241,283001125,21/12/2014,122.11504,20.396833,A2,-999,0.00034738,0.00017247,,,,,,,,
97138,588016215,22/09/2017,11.868501,5.902509,K3,-999,-2.64E-05,1.73E-05,-7.92,5.18,4.731,0.054,4711.72,37.55,-0.353,0.034
29915,471811053,25/10/2016,89.624074,13.117712,F0,-999,0.000176822,4.13E-05,53.01,12.39,4.126,0.252,6603,154.86,-0.231,0.165
43219,381006179,02/11/2015,37.225431,-1.85656,dM0,-999,9.84E-05,8.13E-06,,,5.015,0.14,3912.36,71.33,,
5082,258910007,03/11/2014,79.483612,29.90592,G5,-999,0.000121818,1.11E-05,36.52,3.32,2.515,0.035,4783.85,24.89,-0.342,0.021
94309,688009079,06/11/2018,121.3244992,21.8365253,G5,-999,0.000113145,1.19E-05,33.92,3.56,3.506,0.025,4904.82,19.67,0.032,0.012
26815,108612074,17/01/2013,80.059621,53.384418,G5,13.51169968,8.73E-05,8.54E-06,26.16,2.56,2.596,0.068,4736.19,40.41,-0.321,0.044
75312,73105061,25/10/2012,86.245008,23.993957,G5,-999,5.77E-05,4.73E-06,,,,,,,,
70020,334913151,19/03/2015,125.735507,8.250428,K5,15.2670002,6.27E-06,1.07E-05,1.88,3.2,4.847,0.089,4354.14,53.04,-0.196,0.058
24515,62014055,07/10/2012,28.909017,12.754599,G7,-999,-0.00037618,8.64E-06,,,,,,,,
99914,1313186,28/10/2011,359.752308,29.643808,G7,-999,-0.000410551,1.99E-05,-123.08,5.96,3.741,0.149,4998.09,89.09,-0.403,0.097
38274,256509001,26/10/2014,94.731242,18.160402,K1,17.14520073,0.000152872,7.54E-06,45.83,2.26,4.706,0.065,5084.57,38.35,0.162,0.042
101572,146607064,20/04/2013,249.473038,15.175861,G9,-999,0.000147402,1.90E-05,44.19,5.71,4.543,0.06,4974.04,41.46,-0.341,0.037
19919,292916146,07/01/2015,52.852405,34.077434,G5,-999,-0.000113145,1.42E-05,-33.92,4.27,2.737,0.044,4480.59,33.43,0.204,0.032
98042,302705067,23/01/2015,74.469028,38.826027,F5,16.54770088,-0.000145467,1.80E-05,-43.61,5.41,4.212,0.127,6253.76,76.33,-0.319,0.083
7229,696805039,03/12/2018,135.69673,19.068703,F6,19.13129997,0.000566826,1.33E-05,169.93,3.99,3.961,0.042,5742.63,29.46,-1.803,0.026
94224,503711046,29/12/2016,96.661634,11.158483,F5,-999,4.29E-05,0.00030226,,,,,,,,
32252,227411229,21/03/2014,122.8478,16.495557,F8,-999,0.000123285,1.33E-05,36.96,3.99,4.136,0.042,6182.87,29.67,-0.005,0.026
37812,472713037,28/10/2016,105.16058,5.3623585,F5,17.04179955,0.000233828,1.48E-05,70.1,4.43,3.741,0.119,6522.05,70.93,-0.66,0.078
81230,321309126,22/02/2015,130.1460874,45.4403572,F3,-999,0.00065554,4.82E-05,,,,,,,,
98842,473614184,31/10/2016,330.742776,6.459802,gM5,-999,0.00252113,3.01E-05,,,1.385,0.37,3298.94,174.26,,
33673,119014231,08/02/2013,60.21989,27.085707,G5,-999,7.70E-05,1.39E-05,23.08,4.17,2.575,0.105,4933.79,62.67,-0.425,0.068
14244,500503132,24/12/2016,198.576034,49.997781,A7,-999,-0.001018838,4.55E-05,-305.44,13.65,3.86,0.312,5542.25,188.52,-1.661,0.204
42130,255709096,21/10/2014,105.709054,1.377179,F0,-999,0.00018901,5.54E-06,,,,,,,,
17173,449405083,03/04/2016,132.2011801,1.1189816,F5,13.95419979,0.000221286,5.70E-05,66.34,17.1,4.095,0.48,6458.74,285.37,-0.741,0.314
83128,633505058,20/01/2018,52.861786,17.180293,G7,-999,9.79E-05,2.26E-05,29.35,6.78,4.655,0.07,5256.14,50.49,-0.574,0.047
85964,132203178,06/03/2013,219.942299,-2.586754,G3,-999,5.97E-05,1.38E-05,17.9,4.15,4.039,0.034,5725.15,25.7,0.073,0.019
49085,83107207,25/11/2012,90.943085,36.383339,F4,17.43129921,0.000155574,1.56E-05,46.64,4.68,4.201,0.049,6490.09,34.03,-0.213,0.031
77720,301704088,21/01/2015,161.8930791,56.4927084,G8,17.00209999,-0.000198404,2.26E-05,-59.48,6.79,4.725,0.135,5052.12,83.51,-0.55,0.089
65351,369509148,12/10/2015,70.605356,16.509925,G5,-999,-6.65E-05,5.63E-05,,,,,,,,
82022,19805154,22/12/2011,25.176324,29.396242,K7,18.43059921,-0.00011582,8.68E-06,,,,,,,,
82250,219008127,01/03/2014,109.96206,21.359329,F9,17.8022995,-5.42E-05,1.60E-05,-16.25,4.81,4.386,0.068,5496.27,45.48,-0.136,0.046
57142,455816043,23/04/2016,243.948092,34.355112,F0,-999,-0.000120884,1.04E-05,-36.24,3.11,4.071,0.027,6676.54,19.88,-0.113,0.015
13981,414810181,27/01/2016,47.927719,7.888981,K4,15.27280045,1.07E-06,5.30E-06,,,,,,,,
44717,218414058,17/02/2014,95.48094,20.622925,G5,-999,0.00015914,5.72E-06,,,,,,,,
91117,382416228,09/11/2015,56.3483147,2.4003611,F5,18.88730049,0.000253209,3.07E-05,75.91,9.2,4.153,0.212,6553.22,128.02,-0.274,0.138
23745,101616091,03/01/2013,138.56067,4.270591,F0,-999,0.000138262,2.16E-05,41.45,6.47,4.197,0.116,6443.11,73.14,-0.506,0.077
15364,377814238,29/10/2015,322.933987,11.131876,F5,-999,5.33E-05,2.65E-05,15.97,7.94,4.35,0.157,6345.59,96.81,-0.361,0.103
20772,442407230,20/03/2016,226.138459,12.697948,G3,18.92810059,-6.90E-05,1.49E-05,-20.69,4.47,3.869,0.047,5593.57,33.06,-0.368,0.029
38027,490915040,08/12/2016,125.71291,35.217809,A5,-999,8.21E-05,2.34E-05,,,,,,,,
22096,795608074,25/01/2020,59.1903983,23.4743002,G2,-999,-7.71E-05,1.74E-05,-23.1,5.22,4.026,0.054,5981.16,38.6,0.059,0.032
10301,194805135,19/12/2013,61.677735,33.090171,G8,12.84780025,8.72E-05,1.38E-05,26.13,4.14,4.554,0.062,4979.64,40.76,-0.598,0.042
77742,449315065,30/03/2016,234.640037,4.979409,G0,-999,-0.000118282,1.61E-05,-35.46,4.83,4.306,0.051,5947.69,35.53,-0.388,0.031
17456,403113005,08/01/2016,190.3902334,10.9035106,F6,15.18120003,0.00031245,2.20E-05,93.67,6.61,4.059,0.087,5884.08,60.06,-0.783,0.06
712,122103220,18/02/2013,52.761997,32.381551,G3,-999,-0.00014564,6.83E-06,,,,,,,,
42457,371604042,15/10/2015,316.1293586,15.8469719,G7,-999,2.13E-05,1.33E-05,6.39,3.99,2.954,0.036,5082.43,26.25,-0.946,0.02
58519,353816035,13/09/2015,288.671333,52.145881,G5,-999,-0.000284564,2.61E-05,-85.31,7.82,4.565,0.186,5276.59,111.85,-0.59,0.121
44352,214802050,03/02/2014,63.144439,20.20516,K5,13.32900047,6.29E-05,1.51E-05,18.87,4.54,4.397,0.081,4297.91,51.09,-0.078,0.054
87390,603615066,20/11/2017,15.699374,48.01052,dM4,14.50529957,8.08E-05,2.68E-05,,,4.453,0.25,3411.16,112.65,,
95229,739715077,31/03/2019,210.40518,57.666043,dM2,-999,-8.59E-05,6.93E-06,,,5.007,0.15,3641.79,70.09,,
52280,628515201,10/01/2018,155.335526,7.835691,dM0,-999,-5.89E-05,6.31E-06,,,4.866,0.13,3856.35,65.88,,
90037,812908242,22/03/2020,246.532033,56.4666265,F6,17.04229927,-0.000104239,3.49E-05,-31.25,10.45,4.172,0.221,6098.4,135.19,-0.786,0.145
92698,158701206,25/09/2013,352.558116,2.630755,K0,18.60569954,-5.15E-05,1.48E-05,-15.43,4.43,4.612,0.047,4934.37,33.19,0.026,0.028
98707,107715060,16/01/2013,63.626291,32.707339,dM0,-999,2.22E-05,6.02E-06,,,5.069,0.12,3859.96,66.39,,
6666,1311013,28/10/2011,356.885963,30.88739,dM1,13.06330013,-0.00014398,1.35E-05,,,5.165,0.2,3732.91,92,,
36151,645604173,13/02/2018,134.1616951,18.3825739,G8,-999,9.45E-05,1.17E-05,28.34,3.51,4.569,0.037,5182.5,25.97,-0.564,0.022
98184,420310077,06/02/2016,64.65634,44.007728,F5,-999,2.51E-05,1.29E-05,7.51,3.88,4.233,0.041,6473.08,29.1,-0.037,0.025
18138,497206059,17/12/2016,95.6724417,22.9417889,F3,11.83899975,0.000181959,1.33E-05,54.55,4,4.196,0.032,6429.53,23.97,-0.391,0.017
12781,419314179,04/02/2016,94.564513,11.265625,G3,-999,0.000174221,2.46E-05,52.23,7.37,3.548,0.144,5553.2,88.96,-0.343,0.095
78205,617910211,18/12/2017,108.23032,7.9758566,F5,16.63139915,5.76E-05,5.28E-05,,,,,,,,
74877,372309101,17/10/2015,53.880113,43.699693,dM0,-999,1.21E-05,6.84E-06,,,4.602,0.16,3600,76.74,,
56161,102601069,05/01/2013,166.420876,12.305906,G7,-999,0.000311649,1.48E-05,93.43,4.43,2.234,0.044,4994.17,31.7,-0.944,0.026
2744,603015036,19/11/2017,69.4805897,42.6264681,F9,-999,4.94E-05,6.04E-06,,,,,,,,
27309,437414151,10/03/2016,105.06588,28.600635,K5,17.34370041,3.93E-06,-5,,,,,,,,
84068,250809042,06/10/2014,74.71232,20.077801,F8,14.67759991,8.27E-05,1.43E-05,24.8,4.3,4.16,0.046,6107.54,32.16,-0.086,0.028
79770,168307015,23/10/2013,25.477589,19.654404,F5,14.55160046,5.67E-05,1.98E-05,16.99,5.94,4.13,0.062,6213.97,43.54,-0.543,0.038
78764,697505097,04/12/2018,150.0650225,22.4824736,F0,-999,-3.39E-05,1.73E-05,-10.17,5.19,4.121,0.054,6660.16,37.72,-0.433,0.034
95710,186110197,01/12/2013,131.392057,25.439387,F5,-999,8.18E-05,9.64E-06,24.51,2.89,4.063,0.022,6543.18,16.95,0.106,0.012
73006,459715091,18/05/2016,276.857396,41.891456,G2,-999,-0.000182426,1.41E-05,-54.69,4.22,3.942,0.036,6003.61,26.59,0.07,0.02
6120,447107173,26/03/2016,179.5134068,-3.5325031,G2,-999,4.70E-05,2.29E-05,14.08,6.86,3.867,0.071,5691.05,50.33,-0.467,0.046
100259,381109235,02/11/2015,36.82746722,-0.97124639,G8,-999,6.50E-05,1.19E-05,19.49,3.56,3.245,0.024,5027.23,19.52,-0.248,0.011
49281,721415214,29/01/2019,105.1648739,25.666705,F0,12.88879967,-2.55E-05,1.53E-05,-7.63,4.58,4.093,0.038,7215.1,28.16,-0.3,0.021
42520,81104112,22/11/2012,89.557762,23.932597,A1,17.19120026,-0.00012704,2.67E-05,,,,,,,,
98337,483203132,23/11/2016,92.3160841,23.5318924,A1,-999,0.00012627,1.13E-06,,,,,,,,
33812,577608197,07/06/2017,283.10132,41.950279,G5,-999,-0.00021665,1.59E-05,-64.95,4.77,2.834,0.048,4546.77,34.52,-0.071,0.028
12267,405803026,12/01/2016,117.72538,38.61955,K7,18.4666996,-0.00010949,1.15E-05,,,,,,,,
72872,482316045,16/11/2016,23.210061,14.196303,G3,12.84959984,3.95E-05,9.84E-06,11.84,2.95,4.228,0.031,5853.54,22.09,0.074,0.019
36976,731504106,02/03/2019,98.0897592,16.7922178,A1,14.83880043,0.000767464,1.89E-05,230.08,5.68,4.185,0.083,6682.5,55.12,-2.238,0.056
66922,803704085,18/02/2020,74.061806,10.822268,F7,17.9545002,2.73E-05,1.08E-05,8.18,3.25,4.175,0.032,6152.66,23.05,-0.13,0.019
8767,588016035,22/09/2017,12.19946,6.127689,K7,-999,-1.69E-05,1.74E-05,-5.07,5.22,4.682,0.094,3888.07,59.29,-0.78,0.062
82102,468803165,09/09/2016,8.272172,35.518427,F0,-999,-0.000300341,8.34E-06,-90.04,2.5,4.188,0.017,6801.28,13.74,-0.336,0.008
75886,241702126,22/05/2014,295.4672389,39.9342891,A1,-999,-3.41E-05,5.24E-06,-10.21,1.57,4.038,0.011,9172.44,8.61,-0.374,0.005
34090,448913248,30/03/2016,118.92853,59.337532,K4,-999,-0.00026017,0.00024386,,,,,,,,
99411,656305129,18/03/2018,108.75133,12.9566842,K1,13.30389977,0.000163747,1.57E-05,49.09,4.7,4.716,0.049,5214.98,34.79,0.237,0.029
46286,230513117,26/03/2014,135.76164,18.298231,G8,-999,-0.000162746,1.44E-05,-48.79,4.32,4.706,0.046,5363.19,32.38,0.003,0.028
74865,723712115,03/02/2019,138.6646714,12.2992416,F9,-999,0.000131891,3.64E-05,39.54,10.92,4.21,0.249,5232.41,150.58,-0.309,0.163
94459,434504077,03/03/2016,140.487223,32.32842,G7,-999,0.00010092,6.73E-06,,,,,,,,
75247,259104094,03/11/2014,122.8922642,51.8249289,F5,13.5862999,-6.85E-05,1.43E-05,-20.54,4.3,4.219,0.039,6316.7,28.47,-0.218,0.022
71653,321107246,22/02/2015,90.255918,39.326377,G3,15.11480045,6.90E-05,1.58E-05,20.68,4.74,4.286,0.119,5810.2,71.36,-0.022,0.078
